,index,train,test,forecast
731,2013-11-23 00:00:00,,57991.21,59652.38
732,2013-11-24 00:00:00,,56715.43,58678.43
733,2013-11-25 00:00:00,,56413.777,57314.953
734,2013-11-26 00:00:00,,59138.117,57077.277
735,2013-11-27 00:00:00,,62882.797,59671.4
736,2013-11-28 00:00:00,,57622.57,62902.113
737,2013-11-29 00:00:00,,58496.78,57398.08
738,2013-11-30 00:00:00,,58200.027,59497.816
739,2013-12-01 00:00:00,,60576.44,58732.855
740,2013-12-02 00:00:00,,59418.5,61020.633
741,2013-12-03 00:00:00,,61052.22,59522.035
742,2013-12-04 00:00:00,,61864.45,61522.434
743,2013-12-05 00:00:00,,57465.23,62027.117
744,2013-12-06 00:00:00,,58189.29,57658.484
745,2013-12-07 00:00:00,,59826.4,59202.246
746,2013-12-08 00:00:00,,59475.297,60348.184
747,2013-12-09 00:00:00,,58225.15,59655.64
748,2013-12-10 00:00:00,,59997.777,58648.062
749,2013-12-11 00:00:00,,62636.06,60629.836
750,2013-12-12 00:00:00,,57067.84,62817.816
751,2013-12-13 00:00:00,,58089.98,57020.457
752,2013-12-14 00:00:00,,57742.61,59184.727
753,2013-12-15 00:00:00,,58491.81,58275.008
754,2013-12-16 00:00:00,,58721.9,58953.367
755,2013-12-17 00:00:00,,61953.63,59089.668
756,2013-12-18 00:00:00,,60987.88,62306.99
757,2013-12-19 00:00:00,,61532.63,60876.36
758,2013-12-20 00:00:00,,61178.418,61866.957
